QTR,AR,ID,CO,WH,TR,AC,FI,RE,IN,LE,OT
1992-03,8.90 ,18.30 ,18.10 ,11.70 ,7.80 ,24.20 ,4.00 ,18.70 ,,,8.00 
1992-06,7.00 ,19.20 ,19.70 ,10.80 ,8.60 ,24.90 ,4.90 ,20.30 ,,,10.20 
1992-09,5.40 ,19.90 ,20.70 ,11.10 ,10.80 ,26.50 ,6.00 ,23.20 ,,,11.60 
1992-12,4.70 ,21.04 ,20.99 ,10.51 ,10.06 ,27.01 ,6.47 ,26.61 ,,,11.50 
1993-03,5.00 ,20.80 ,22.90 ,9.50 ,10.70 ,11.00 ,10.10 ,17.40 ,,,13.60 
1993-06,4.40 ,20.30 ,22.00 ,8.20 ,10.90 ,8.40 ,9.30 ,12.60 ,,,14.90 
1993-09,4.30 ,19.60 ,20.50 ,8.00 ,11.80 ,7.50 ,10.20 ,10.30 ,,,15.90 
1993-12,4.70 ,19.96 ,17.96 ,8.58 ,12.54 ,8.24 ,11.28 ,10.76 ,,,16.70 
1994-03,5.10 ,18.30 ,16.70 ,5.50 ,12.70 ,17.80 ,9.80 ,15.90 ,,,13.10 
1994-06,4.40 ,18.70 ,16.50 ,6.70 ,10.50 ,21.50 ,10.00 ,14.00 ,,,12.40 
1994-09,4.10 ,18.80 ,15.40 ,7.10 ,9.60 ,24.60 ,10.30 ,13.20 ,,,12.30 
1994-12,4.00 ,18.78 ,13.65 ,8.19 ,8.52 ,27.14 ,9.74 ,11.96 ,,,12.60 
1995-03,5.40 ,14.50 ,12.00 ,5.70 ,10.20 ,17.90 ,12.50 ,11.90 ,,,10.60 
1995-06,5.70 ,14.40 ,12.20 ,7.60 ,8.60 ,13.30 ,9.20 ,13.00 ,,,10.20 
1995-09,5.30 ,14.10 ,11.80 ,7.70 ,8.40 ,11.60 ,8.00 ,12.40 ,,,10.70 
1995-12,5.00 ,13.99 ,12.38 ,8.23 ,10.98 ,10.24 ,8.83 ,12.44 ,,,10.30 
1996-03,5.30 ,13.50 ,5.30 ,9.30 ,9.70 ,7.80 ,6.70 ,6.50 ,,,12.90 
1996-06,5.00 ,12.00 ,9.40 ,9.00 ,10.20 ,6.10 ,7.90 ,4.70 ,,,13.00 
1996-09,4.90 ,11.90 ,9.50 ,8.20 ,10.30 ,6.50 ,7.40 ,4.30 ,,,12.90 
1996-12,5.10 ,12.49 ,8.51 ,7.63 ,11.04 ,6.84 ,7.91 ,4.02 ,,,12.70 
1997-03,5.00 ,10.40 ,6.60 ,12.50 ,7.50 ,15.30 ,10.20 ,3.60 ,,,16.10 
1997-06,4.70 ,11.40 ,3.70 ,11.00 ,8.50 ,14.30 ,8.70 ,5.20 ,,,16.10 
1997-09,3.90 ,11.00 ,2.30 ,10.40 ,8.90 ,13.00 ,9.00 ,4.90 ,,,16.20 
1997-12,3.50 ,11.32 ,2.63 ,8.77 ,9.20 ,10.94 ,9.04 ,4.12 ,,,15.80 
1998-03,3.60 ,7.70 ,3.50 ,4.90 ,10.50 ,13.40 ,3.70 ,7.30 ,,,9.50 
1998-06,2.50 ,7.90 ,5.20 ,5.30 ,10.40 ,11.90 ,4.10 ,7.20 ,,,9.30 
1998-09,2.80 ,8.20 ,7.40 ,5.90 ,10.30 ,12.10 ,4.80 ,7.40 ,,,9.40 
1998-12,3.50 ,8.89 ,9.01 ,6.51 ,10.59 ,11.06 ,5.12 ,7.70 ,,,9.60 
1999-03,3.80 ,9.60 ,8.50 ,8.20 ,12.80 ,10.20 ,6.00 ,4.10 ,,,10.60 
1999-06,3.10 ,9.20 ,8.30 ,7.60 ,13.60 ,8.10 ,6.10 ,4.60 ,,,9.90 
1999-09,3.10 ,9.00 ,6.20 ,7.80 ,13.90 ,7.90 ,5.50 ,4.50 ,,,10.90 
1999-12,2.80 ,8.56 ,4.31 ,8.71 ,12.17 ,7.72 ,5.36 ,5.94 ,,,11.40 
2000-03,2.60 ,9.00 ,6.30 ,10.80 ,7.30 ,11.70 ,7.20 ,8.80 ,,,12.20 
2000-06,1.80 ,9.70 ,7.70 ,9.80 ,8.50 ,11.40 ,7.00 ,7.70 ,,,14.10 
2000-09,2.20 ,9.90 ,7.70 ,9.40 ,8.30 ,10.90 ,7.10 ,7.90 ,,,14.20 
2000-12,2.40 ,9.86 ,5.70 ,9.42 ,8.58 ,9.34 ,6.97 ,7.11 ,,,13.10 
2001-03,3.60 ,9.60 ,5.00 ,9.60 ,10.40 ,7.40 ,8.00 ,12.20 ,,,12.90 
2001-06,2.20 ,9.70 ,6.90 ,8.90 ,9.50 ,7.20 ,7.50 ,11.30 ,,,12.50 
2001-09,2.80 ,9.00 ,7.30 ,8.70 ,9.60 ,7.50 ,7.50 ,11.20 ,,,12.60 
2001-12,2.80 ,8.72 ,6.80 ,9.09 ,8.81 ,7.65 ,7.02 ,10.99 ,,,12.90 
2002-03,2.90 ,8.70 ,9.10 ,8.50 ,7.20 ,12.40 ,7.00 ,8.30 ,,,13.20 
2002-06,2.30 ,9.40 ,9.40 ,8.50 ,5.50 ,11.90 ,7.10 ,8.60 ,,,13.30 
2002-09,3.10 ,9.80 ,9.70 ,8.50 ,6.40 ,12.10 ,7.10 ,9.40 ,,,13.60 
2002-12,2.90 ,10.04 ,8.81 ,8.81 ,7.13 ,12.14 ,7.53 ,9.88 ,,,13.70 
2003-03,2.90 ,13.10 ,14.70 ,8.30 ,7.70 ,11.00 ,11.30 ,11.10 ,,,12.10 
2003-06,2.20 ,12.00 ,13.60 ,9.30 ,4.90 ,9.30 ,9.60 ,11.90 ,,,11.00 
2003-09,2.80 ,12.30 ,14.70 ,10.70 ,5.70 ,11.70 ,8.80 ,10.10 ,,,9.50 
2003-12,2.50 ,12.75 ,12.09 ,9.94 ,6.13 ,12.36 ,7.44 ,9.77 ,,,10.80 
