QTR,AR,ID,CO,WH,TR,AC,FI,RE,IN,LE,OT
1992-03,10.10 ,56.60 ,6.50 ,10.20 ,4.80 ,1.80 ,1.00 ,4.40 ,,,4.80 
1992-06,10.90 ,58.30 ,7.10 ,6.50 ,4.30 ,1.40 ,3.10 ,3.90 ,,,4.50 
1992-09,9.20 ,55.10 ,9.90 ,6.40 ,5.50 ,1.60 ,4.00 ,4.10 ,,,4.20 
1992-12,8.00 ,56.60 ,6.80 ,4.80 ,4.60 ,3.80 ,2.60 ,6.50 ,,,6.80 
1993-03,4.20 ,58.30 ,5.30 ,6.40 ,5.30 ,1.70 ,4.60 ,4.40 ,,,9.90 
1993-06,5.20 ,57.90 ,6.70 ,6.00 ,5.30 ,1.40 ,4.00 ,3.40 ,,,10.30 
1993-09,6.10 ,57.20 ,6.70 ,5.60 ,5.40 ,1.20 ,4.30 ,3.00 ,,,10.50 
1993-12,7.40 ,55.30 ,6.90 ,5.60 ,5.70 ,1.30 ,4.40 ,3.10 ,,,10.30 
1994-03,3.90 ,57.90 ,5.30 ,3.70 ,6.30 ,3.00 ,4.70 ,4.60 ,,,10.60 
1994-06,4.60 ,58.10 ,6.60 ,4.50 ,5.00 ,3.60 ,4.30 ,3.80 ,,,9.30 
1994-09,5.20 ,58.80 ,6.60 ,4.40 ,4.30 ,3.90 ,4.20 ,3.70 ,,,8.80 
1994-12,6.00 ,57.80 ,6.70 ,5.00 ,4.00 ,4.20 ,4.00 ,3.60 ,,,8.70 
1995-03,4.90 ,55.00 ,4.50 ,4.30 ,6.00 ,3.60 ,7.10 ,4.20 ,,,10.60 
1995-06,7.10 ,54.80 ,5.80 ,6.00 ,5.10 ,2.60 ,4.80 ,4.40 ,,,9.50 
1995-09,8.30 ,54.90 ,6.00 ,5.80 ,4.60 ,2.30 ,4.10 ,4.40 ,,,9.70 
1995-12,9.10 ,52.40 ,7.10 ,5.90 ,5.80 ,1.90 ,4.30 ,4.50 ,,,8.90 
1996-03,5.60 ,56.30 ,2.10 ,7.90 ,5.50 ,1.70 ,4.00 ,2.60 ,,,14.30 
1996-06,7.30 ,52.20 ,5.10 ,8.00 ,5.90 ,1.30 ,4.50 ,1.80 ,,,13.80 
1996-09,8.90 ,52.60 ,5.40 ,7.00 ,5.60 ,1.40 ,4.20 ,1.70 ,,,13.10 
1996-12,10.50 ,52.80 ,5.30 ,6.10 ,6.00 ,1.30 ,4.30 ,1.50 ,,,12.10 
1997-03,5.60 ,46.10 ,2.70 ,11.20 ,4.50 ,3.30 ,6.20 ,1.40 ,,,19.10 
1997-06,7.00 ,49.30 ,1.90 ,9.80 ,4.80 ,2.90 ,4.80 ,1.90 ,,,17.50 
1997-09,7.20 ,50.20 ,1.30 ,9.20 ,5.00 ,2.60 ,5.10 ,1.90 ,,,17.50 
1997-12,7.60 ,51.70 ,1.70 ,7.70 ,5.40 ,2.30 ,5.10 ,1.60 ,,,16.80 
1998-03,5.50 ,48.30 ,2.00 ,6.70 ,8.50 ,4.30 ,3.30 ,4.00 ,,,17.50 
1998-06,5.00 ,49.40 ,3.70 ,7.00 ,8.20 ,3.80 ,3.30 ,3.70 ,,,16.00 
1998-09,6.20 ,48.70 ,5.40 ,7.00 ,7.30 ,3.40 ,3.50 ,3.70 ,,,14.70 
1998-12,8.20 ,47.90 ,6.80 ,6.70 ,7.20 ,2.80 ,3.40 ,3.60 ,,,13.30 
1999-03,4.60 ,47.00 ,3.70 ,9.20 ,8.80 ,3.00 ,4.20 ,2.00 ,,,17.60 
1999-06,5.00 ,47.00 ,5.00 ,8.60 ,9.60 ,2.30 ,4.10 ,2.20 ,,,16.10 
1999-09,6.00 ,46.70 ,4.10 ,8.50 ,9.40 ,2.20 ,3.60 ,2.20 ,,,17.30 
1999-12,6.40 ,45.30 ,3.30 ,9.30 ,8.80 ,2.10 ,3.70 ,3.10 ,,,17.80 
2000-03,3.00 ,42.50 ,2.80 ,12.20 ,5.10 ,3.50 ,4.80 ,4.30 ,,,21.90 
2000-06,2.50 ,44.30 ,4.20 ,10.20 ,5.70 ,3.10 ,4.20 ,3.40 ,,,22.60 
2000-09,3.60 ,45.20 ,4.40 ,9.30 ,5.30 ,2.80 ,4.10 ,3.50 ,,,21.90 
2000-12,4.60 ,46.50 ,3.80 ,9.10 ,5.80 ,2.30 ,4.10 ,3.40 ,,,20.20 
2001-03,3.50 ,41.90 ,1.90 ,10.00 ,7.10 ,2.10 ,4.90 ,5.60 ,,,22.90 
2001-06,2.80 ,44.40 ,3.60 ,9.10 ,6.90 ,2.00 ,4.30 ,5.10 ,,,21.70 
2001-09,4.20 ,42.70 ,4.20 ,8.70 ,6.80 ,2.00 ,4.30 ,5.30 ,,,21.70 
2001-12,5.00 ,41.90 ,4.50 ,8.90 ,6.50 ,2.00 ,4.10 ,5.50 ,,,21.70 
2002-03,2.80 ,39.90 ,3.50 ,9.30 ,5.40 ,3.70 ,4.40 ,4.20 ,,,26.70 
2002-06,2.70 ,43.10 ,4.80 ,8.80 ,4.10 ,3.30 ,4.00 ,4.00 ,,,25.10 
2002-09,4.30 ,43.30 ,5.20 ,8.00 ,4.30 ,3.10 ,3.80 ,4.30 ,,,23.90 
2002-12,4.50 ,43.30 ,5.20 ,8.00 ,4.80 ,2.90 ,3.90 ,4.60 ,,,23.00 
2003-03,2.20 ,47.10 ,4.60 ,7.40 ,4.50 ,2.70 ,5.60 ,4.60 ,,,21.10 
2003-06,2.20 ,47.90 ,6.30 ,8.60 ,3.20 ,2.30 ,4.70 ,5.10 ,,,19.70 
2003-09,3.40 ,49.10 ,7.20 ,9.20 ,3.50 ,2.80 ,4.10 ,4.30 ,,,16.30 
2003-12,3.40 ,50.20 ,6.40 ,8.10 ,3.80 ,2.80 ,3.40 ,4.30 ,,,17.60 
2004-03,3.10 ,48.70 ,2.80 ,0.70 ,8.50 ,1.30 ,3.30 ,3.50 ,,,28.00 
2004-06,4.00 ,46.60 ,3.40 ,3.60 ,9.00 ,2.30 ,1.90 ,3.20 ,,,26.00 
2004-09,6.40 ,45.70 ,4.20 ,3.90 ,8.70 ,2.40 ,1.70 ,2.80 ,,,24.30 
2004-12,7.90 ,46.10 ,4.40 ,5.30 ,8.30 ,2.80 ,2.00 ,2.60 ,,,20.70 
2005-03,3.50 ,41.00 ,4.10 ,9.20 ,8.20 ,3.40 ,4.50 ,5.30 ,,,20.60 
2005-06,4.40 ,42.20 ,6.10 ,9.60 ,8.30 ,3.20 ,4.40 ,5.30 ,,,16.50 
2005-09,5.50 ,42.00 ,6.30 ,9.40 ,7.50 ,2.90 ,4.90 ,5.00 ,,,16.40 
2005-12,6.10 ,41.90 ,7.70 ,8.90 ,5.70 ,2.40 ,5.10 ,4.80 ,,,17.60 
2006-03,2.80 ,41.70 ,5.40 ,12.40 ,4.90 ,2.00 ,8.70 ,6.00 ,,,16.20 
2006-06,3.50 ,44.10 ,6.10 ,12.10 ,3.80 ,1.90 ,7.90 ,5.60 ,,,15.00 
2006-09,4.20 ,43.50 ,6.80 ,12.00 ,3.90 ,2.10 ,7.50 ,5.20 ,,,14.90 
