QTR,AR,ID,CO,WH,TR,AC,FI,RE,IN,LE,OT
1992-03,658.80 ,2225.40 ,182.30 ,536.80 ,393.30 ,127.20 ,357.20 ,200.90 ,,,581.10 
1992-06,1271.90 ,2487.90 ,319.30 ,679.70 ,411.00 ,155.20 ,354.00 ,243.00 ,,,562.30 
1992-09,1726.80 ,2809.60 ,340.40 ,568.60 ,363.80 ,148.20 ,368.00 ,306.80 ,,,560.40 
1992-12,2208.80 ,2817.30 ,575.90 ,620.30 ,521.20 ,153.90 ,402.90 ,348.40 ,,,606.10 
1993-03,740.90 ,3018.10 ,297.60 ,644.00 ,471.90 ,160.80 ,455.50 ,271.90 ,,,773.90 
1993-06,1431.00 ,3418.30 ,531.10 ,764.60 ,525.80 ,183.10 ,433.30 ,293.60 ,,,776.20 
1993-09,2030.20 ,3852.60 ,563.00 ,657.60 ,476.20 ,177.00 ,476.40 ,365.90 ,,,786.90 
1993-12,2761.40 ,3959.50 ,878.20 ,750.90 ,700.30 ,191.10 ,538.30 ,445.30 ,,,870.80 
1994-03,994.80 ,4171.30 ,410.90 ,830.70 ,650.00 ,217.90 ,620.30 ,384.30 ,,,1095.00 
1994-06,1933.80 ,4767.90 ,706.60 ,1010.90 ,722.40 ,251.70 ,591.40 ,409.80 ,,,1086.50 
1994-09,2835.20 ,5255.90 ,731.70 ,915.50 ,601.30 ,252.60 ,645.10 ,505.60 ,,,1125.20 
1994-12,3808.40 ,5351.20 ,1119.60 ,1016.90 ,814.50 ,286.30 ,701.00 ,605.90 ,,,1209.40 
1995-03,1360.40 ,5394.80 ,523.60 ,1098.70 ,737.30 ,282.40 ,765.70 ,511.40 ,,,1437.30 
1995-06,2522.30 ,6157.50 ,898.80 ,1281.60 ,793.10 ,305.00 ,744.30 ,524.10 ,,,1386.30 
1995-09,3581.10 ,6678.70 ,929.00 ,1168.00 ,717.60 ,288.50 ,811.20 ,605.00 ,,,1385.10 
1995-12,4671.30 ,6792.20 ,1382.30 ,1231.10 ,996.60 ,324.20 ,890.40 ,708.90 ,,,1454.10 
1996-03,1658.80 ,6591.60 ,600.70 ,1336.00 ,882.50 ,314.80 ,903.90 ,581.70 ,,,1757.90 
1996-06,3036.20 ,7180.70 ,1062.60 ,1490.70 ,918.90 ,333.50 ,863.70 ,580.10 ,,,1681.10 
1996-09,3983.00 ,7744.60 ,1116.80 ,1355.60 ,828.80 ,322.40 ,910.60 ,678.80 ,,,1665.20 
1996-12,5336.70 ,8012.00 ,1612.90 ,1418.20 ,1152.30 ,366.20 ,1022.40 ,771.30 ,,,1740.40 
1997-03,1780.60 ,7415.60 ,654.80 ,1606.60 ,958.80 ,384.00 ,1054.50 ,649.30 ,,,2184.80 
1997-06,3168.10 ,8114.10 ,1120.30 ,1671.20 ,1005.20 ,399.30 ,962.60 ,639.90 ,,,2082.90 
1997-09,4079.80 ,8592.30 ,1155.80 ,1529.20 ,912.80 ,375.30 ,1024.80 ,760.40 ,,,2070.50 
1997-12,5412.30 ,8900.60 ,1697.30 ,1521.40 ,1272.30 ,402.70 ,1137.30 ,864.90 ,,,2152.60 
1998-03,1888.20 ,7714.20 ,684.50 ,1759.90 ,1079.80 ,453.00 ,1090.40 ,766.70 ,,,2612.40 
1998-06,3192.20 ,8310.50 ,1176.20 ,1801.40 ,1133.20 ,451.10 ,987.60 ,757.00 ,,,2487.40 
1998-09,4136.90 ,8809.00 ,1264.10 ,1676.60 ,1020.00 ,435.80 ,1058.20 ,898.30 ,,,2476.80 
1998-12,5599.10 ,9300.20 ,1868.30 ,1676.40 ,1428.50 ,447.00 ,1182.10 ,1005.70 ,,,2567.00 
1999-03,1915.80 ,8054.40 ,737.90 ,1917.30 ,1210.80 ,506.30 ,1152.30 ,814.40 ,,,3052.70 
1999-06,3194.40 ,8749.40 ,1261.50 ,1917.60 ,1289.40 ,481.90 ,1040.20 ,800.30 ,,,2833.00 
1999-09,4122.20 ,9288.70 ,1290.80 ,1800.10 ,1140.30 ,470.10 ,1080.20 ,937.90 ,,,2920.60 
1999-12,5536.20 ,9921.80 ,1890.60 ,1857.20 ,1535.40 ,483.00 ,1217.10 ,1121.90 ,,,3020.70 
2000-03,1947.50 ,8798.50 ,777.10 ,2101.20 ,1379.40 ,570.50 ,1237.70 ,931.40 ,,,3586.70 
2000-06,3209.70 ,9799.60 ,1359.00 ,2073.30 ,1571.70 ,536.50 ,1125.20 ,903.00 ,,,3465.50 
2000-09,4196.10 ,10502.80 ,1417.40 ,1943.50 ,1370.00 ,523.20 ,1171.80 ,1068.90 ,,,3518.70 
2000-12,5590.20 ,11157.70 ,1980.50 ,2041.80 ,1840.80 ,516.10 ,1307.60 ,1237.60 ,,,3522.10 
2001-03,2061.60 ,9838.00 ,834.20 ,2351.90 ,1604.10 ,638.60 ,1343.40 ,1071.90 ,,,4342.60 
2001-06,3297.00 ,10874.80 ,1472.70 ,2307.70 ,1764.60 ,599.60 ,1209.20 ,1012.90 ,,,4188.10 
2001-09,4524.00 ,11294.00 ,1532.20 ,2161.40 ,1521.20 ,588.00 ,1264.60 ,1213.00 ,,,4234.90 
2001-12,5897.50 ,11847.50 ,2106.30 ,2299.60 ,1981.40 ,574.00 ,1385.60 ,1408.00 ,,,4216.90 
2002-03,2206.30 ,10438.00 ,914.60 ,2576.70 ,1722.50 ,728.60 ,1434.30 ,1201.40 ,,,5072.70 
2002-06,3463.10 ,11716.10 ,1621.20 ,2516.20 ,1901.90 ,674.90 ,1291.30 ,1142.30 ,,,4867.70 
2002-09,4820.10 ,12378.40 ,1685.30 ,2361.20 ,1677.50 ,669.20 ,1340.40 ,1381.90 ,,,4943.40 
2002-12,6046.20 ,13242.30 ,2261.10 ,2542.70 ,2192.30 ,652.10 ,1489.80 ,1609.00 ,,,4934.80 
2003-03,2292.10 ,12127.90 ,1056.50 ,2818.00 ,1840.50 ,817.90 ,1588.80 ,1390.20 ,,,5893.40 
2003-06,3537.30 ,13398.50 ,1864.00 ,2784.60 ,1941.00 ,738.80 ,1407.40 ,1351.20 ,,,5514.40 
2003-09,5154.50 ,14303.90 ,2040.40 ,2752.90 ,1793.60 ,801.20 ,1461.20 ,1557.50 ,,,5426.70 
2003-12,6396.60 ,15531.90 ,2549.80 ,2815.70 ,2339.60 ,768.10 ,1588.20 ,1858.10 ,,,5919.30 
2004-03,2698.40 ,14093.60 ,1242.80 ,2969.40 ,2159.80 ,898.10 ,1764.30 ,1628.10 ,,,7090.20 
2004-06,4360.70 ,15965.70 ,2170.60 ,3128.70 ,2375.70 ,896.70 ,1515.30 ,1603.00 ,,,6684.40 
2004-09,6494.90 ,17019.60 ,2406.80 ,3084.00 ,2137.30 ,927.60 ,1571.90 ,1800.20 ,,,6412.70 
2004-12,7856.80 ,18696.00 ,2900.30 ,3273.60 ,2633.70 ,942.40 ,1748.70 ,2120.90 ,,,6567.40 
2005-03,2986.80 ,16766.20 ,1451.80 ,3339.70 ,2554.90 ,1048.40 ,1935.90 ,1988.40 ,,,8381.20 
